No,Student ID,First Name,Last Name,Gender,Date of Birth,Social ID,Class,Password
1,20280001,Ho Ngoc,An ,Nam,25/5/2002,157863159,20KDL1,an001
2,20280002,Nguyen Dinh,An,Nu,30/9/2002,169536895,20KDL1,an002
3,20280003,Nguyen Phuoc Hong,An,Nam,16/12/2001,326862365,20KDL1,an003
4,20280004,Tran Hoang,Anh,Nam,9/8/1999,215964156,20KDL1,anh004
5,20280005,Nguyen Que,Anh,Nu,6/11/2002,546835432,20KDL1,anh005
6,20280006,Nguyen Quoc,Bao,Nam,13/2/2002,213546652,20KDL1,bao006
7,20280007,Vo Thai,Binh,Nam,3/9/2000,123145687,20KDL2,binh007
8,20280008,Nguyen Huu,Can,Nam,16/2/2002,136546546,20KDL2,can008
9,20280009,Tran Huu Chi,Cong,Nam,9/8/2002,416546835,20KDL2,cong009
10,20280010,Pham Bao,Cuong,Nam,17/1/2002,231654680,20KDL2,nam010
11,20280011,Hoang Hai,Dang,Nam,16/5/2002,231657098,20KDL2,dang011
12,20280012,Huynh Tan,Dat,Nam,11/4/2002,897465413,20KDL2,dat012
13,20280013,Ngo Truong Minh,Dat,Nam,16/9/2002,654654654,20KDL2,dat013
14,20280014,Nguyen Minh Hoang,Dat,Nam,19/11/2002,197455999,20KDL2,dat014
15,20280015,Phu Chi,Dat,Nam,3/8/2002,313546546,20KDL2,dat015
16,20280016,Tran Tien,Dat,Nam,3/2/2002,321346545,20KDL2,dat016
17,20280017,Nguyen Nhat,Do,Nam,2/8/2001,878973541,20KDL3,do017
18,20280018,Duong Vi,Doanh,Nam,3/9/2002,231656749,20KDL3,doanh018
19,20280019,Nguyen Trung,Duc,Nam,18/4/2002,321657983,20KDL3,duc019
20,20280020,Huynh Viet Dung,,Nam,16/6/2002,321585867,20KDL3,dung020

